entity_name,entity_type,mentions,source_count,lng,lat,town,match_source,match_id
南海观音文化苑,建筑遗迹,5,3,112.971937,22.932516,西樵镇,poi_contain,B0FFG27VUO
大同乡,地名,5,1,112.899757,23.023353,丹灶镇,poi_contain,B02F5076XX
吉水,地名,5,4,112.96847,22.942825,nan,anchor_contain,ANC_0046
爱国村,地名,5,1,112.968638,22.945047,西樵镇,poi_contain,
朝山村,地名,5,1,112.984562,22.888471,丹灶镇,poi_contain,
霍氏宗祠,建筑遗迹,5,3,112.930983,22.991846,丹灶镇,poi_exact,B0LAP7F790
庆云洞,建筑遗迹,5,2,112.872731,22.857182,西樵镇,poi_exact,B02F5076NF
白云洞景区,地名,5,1,112.959086,22.937046,西樵镇,poi_contain,B0FFHHHE8Y
天镇峰,建筑遗迹,5,4,112.969782,22.942663,西樵镇,poi_contain,B0FFFDR6OB
碧玉洞,建筑遗迹,5,2,112.979454,22.938499,西樵镇,poi_exact,B0FFF365DR
石牌坊,建筑遗迹,5,5,112.998467,22.840789,丹灶镇,poi_contain,B0FFJ9RMZG
南海丹灶,地名,5,5,112.915232,23.042368,丹灶镇,poi_contain,B0FFHYF3AU
白云,地名,5,4,112.959222,22.936722,西樵镇,poi_contain,B0FFG27CU6
樵山,地名,5,4,112.972653,22.90873,西樵镇,poi_contain,B0IBO9P320
良登村,地名,5,2,112.909619,23.022209,丹灶镇,poi_contain,B0FFFSY1XG
雄星村,地名,5,1,113.014632,23.045182,丹灶镇,poi_contain,B0FFGFUXBN
肇庆,地名,5,4,112.998552,23.085099,狮山镇,poi_contain,B02F5045O3
叠滘小学,建筑遗迹,5,1,113.131147,23.056113,桂城街道,poi_contain,B0FFID63L8
钟边,地名,5,4,113.107355,23.095389,大沥镇,poi_contain,B0FFI94UQI
名宦祠,建筑遗迹,4,2,113.129477,23.101116,里水镇,poi_contain,B0FFFCQEPL
沙涌,地名,4,2,113.161138,23.145905,里水镇,poi_contain,B0FFH4AO8W
水月宫,建筑遗迹,4,3,113.169373,23.113815,里水镇,poi_exact,B0FFL92KWP
涌口,地名,4,4,113.178515,23.050269,桂城街道,poi_contain,B0FFGQAKTO
探花桥,建筑遗迹,4,2,113.0,22.85,nan,anchor_exact,ANC_0074
三元桥,建筑遗迹,4,4,113.017604,22.829592,nan,anchor_exact,ANC_0076
文昌,地名,4,2,113.160295,23.09981,里水镇,poi_contain,B0FFI5IXXC
西樵山三湖书院,建筑遗迹,4,3,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
应潮湖,建筑遗迹,4,3,112.959823,22.934857,西樵镇,poi_exact,B0FFIJLEF8
湖南,地名,4,3,113.071842,23.225701,大沥镇,poi_contain,B0FFIL8GGN
清远,地名,4,3,113.235068,23.032715,桂城街道,poi_contain,B0FFH43NIO
丹桂,地名,4,3,113.144291,23.040598,桂城街道,poi_contain,
南园,建筑遗迹,4,3,113.142098,23.03776,桂城街道,poi_exact,B0FFH2DI8F
南村,地名,4,3,113.092972,23.200746,狮山镇,poi_contain,B0KBX7L8SD
南海神庙,建筑遗迹,4,4,113.080252,23.180045,狮山镇,poi_exact,B0FFH42HYC
西南,地名,4,4,113.102695,23.080318,大沥镇,poi_contain,B0HK6M2APN
中山大学,地名,4,3,112.959437,22.935742,西樵镇,poi_contain,B0FFG2BDTF
宝莲寺,建筑遗迹,4,3,112.963174,22.911141,西樵镇,poi_exact,B02F507708
沙口,地名,4,4,113.03098,22.815342,九江镇,poi_contain,B0FFFENUBA
桥头,地名,4,2,113.158265,23.113942,里水镇,poi_exact,B02F507U1P
林岳,地名,4,3,113.225444,22.998698,桂城街道,poi_contain,B0FFIDUXHC
佛山涌,地名,4,2,113.13775,23.026981,桂城街道,poi_exact,B0FFKGOVJF
万安桥,建筑遗迹,4,2,113.017712,22.919406,丹灶镇,poi_contain,BV10251646
黄氏大宗祠,建筑遗迹,4,2,113.021404,23.062956,狮山镇,poi_exact,B0FFG3QKJB
大雄宝殿,建筑遗迹,4,4,113.168936,22.998059,桂城街道,poi_exact,B0FFGA0GMH
中共南海县委旧址,建筑遗迹,4,2,113.100939,23.134657,狮山镇,poi_exact,B02F50WG6V
黄少强故居,建筑遗迹,4,1,113.090524,23.219449,大沥镇,poi_exact,B0FFKBOBLV
雅瑶,地名,4,4,113.135,23.135058,里水镇,poi_contain,B0FFHVGUSO
兴贤,地名,4,4,113.072143,23.130649,大沥镇,poi_contain,B0FFM3V93I
横江,地名,4,4,113.169632,23.111535,大沥镇,poi_contain,B0IRZD4JGC
南海大沥,地名,4,4,113.103797,23.115744,大沥镇,poi_contain,B0FFJRS0UB
西岸村,地名,4,1,112.974952,23.018,丹灶镇,poi_contain,B02F50ZN41
官山市,地名,4,1,113.003022,22.952411,西樵镇,poi_contain,
岭西村,地名,4,1,112.945098,22.929248,西樵镇,poi_contain,B0H2HRJDON
朝山,地名,4,1,112.976092,22.887074,西樵镇,poi_contain,BV10255183
沙涌村,地名,4,1,112.959613,22.947063,西樵镇,poi_contain,B0IB3S8BNI
九江烟南村,地名,4,1,112.964397,22.875803,九江镇,poi_contain,
先锋庙,建筑遗迹,4,3,112.973089,22.842647,西樵镇,poi_exact,B0HA6HAYXO
牌楼村,地名,4,2,112.981097,22.886898,西樵镇,poi_contain,B0FFH2SMRG
河清,地名,4,4,112.950837,22.858347,九江镇,poi_contain,
百东,地名,4,2,112.92533,22.967241,丹灶镇,poi_contain,B0IDGUU8OF
