platform,spot_name,text,time,poi_id,poi_name,poi_category,poi_town,poi_lng,poi_lat,is_cultural_tourism,match_score,match_method
去哪儿,友壹町寿司(容桂天佑城店),中午套餐和下午套餐都非常美味和实惠，值得一试噢！友壹町位于天佑城的一层，就在正对天佑城的正门右边，店面挺大的，而且招牌很显眼，非常好找。或者直接乘坐公交乘坐公交80路;317路;320路;322路等线路到天佑城(桂洲大道中)-公交车站下车后即刻看到天佑城，然后过对面马路，在天佑城里最先看到的餐厅就是友壹町了。餐厅里面分了普通的卡位座位和回转寿司带座位，可以根据自己的喜好选择座位。整个餐厅的卫生坏境很不错，服务也很好。价格的话，如果是套餐的话，个人觉得非常划算，19-32元就有多款套餐可以选择，套餐里面包含主菜，小食或者寿司和汤。其中最喜欢的就是那个三文鱼定食套餐，里面有三文鱼刺身、三文鱼寿司、小卷和汤。套餐的分量很足，一般女生吃完都会觉得很饱，男生的话也会刚刚好。这里的三文鱼刺身很厚也很甜美，很值得推荐噢！,,B02F50WASN,友壹町寿司(嘉洲广场店),餐饮住宿,里水镇,113.183553,23.11135,FALSE,100,exact
去哪儿,冯不记米坊(印象城店),【Location】东乐路新一城商场三楼，原来是在二楼的，现搬到三楼了。【Service】值得一赞的是，不收茶位，但是免费提供罗汉果茶和荔枝红茶，不过需要自己动手。店里都是敞开的，比较开阔舒适，不会觉得闷热局促。不过可能商场空调不够，店里又没有风扇，吃东西起来会有点热。店里面放着很多腌制的咸柑橘，一罐罐排列在那里，估计是用来做饮料的，果然是货真价实，不像其他店用假的咸柑橘。【Food】*必点炸云吞*卖相可好，新鲜出锅，还是热辣辣的，皮都是脆脆的，肉馅是韭菜，上边还有沙拉酱，配上沙拉酱会显得没那么油腻，而且沙拉酱酸酸甜甜的也好吃。*猪软骨饭*猪软骨够味，饭的份量很足够，满满的一大碗，猪软骨的肉汁跟饭混在一起，味道不错。性价比高，价格不贵，很满足。*葱花猪肉肠粉*肠粉比较厚，比较粘，很容易饱，酱油味道甜甜的。,,B0FFFA1KL7,冯不记米坊(南海金盛广场店),餐饮住宿,狮山镇,113.046332,23.059966,FALSE,100,exact
去哪儿,星巴克(佛山铂顿店),【交通】这家店在佛山禅城的铂顿城，从广州出发，搭乘地铁一号线到西朗转乘广佛线到祖庙站，从C出口出去就能看到。【体验】我们到达祖庙站后，从A出口出去，到百花广场逛了一圈之后再去铂顿城星巴克，两个地方很近的。周末过去，这家星巴克人很多，我们想在室内找个位置都很难，但是室外门口有几套桌椅，是吸烟区，而且桌椅都没什么人收拾，绕道马路边上的卡座式藤椅上，这里的环境和视野都比较好，室外的，有风吹吹，挺舒服的，没有室内那么局束。我排了十几分钟的队才点了餐，等待出餐的时间就更长了。星巴克的出品是有保证的，我们点了海盐焦糖拿铁，还有一个布朗尼和吞拿鱼包，吞拿鱼包要加热，布朗尼不加热比较好吃。【附近景点】从这家星巴克步行到岭南新天地需要10分钟左右，去到岭南星天地也发现一家星巴克，环境更好哦。从铂顿城步行5分钟左右可以到达祖庙。,,B0FFFFA3KD,星巴克(佛山悦万广场分店),餐饮住宿,桂城街道,113.135462,23.044762,FALSE,100,exact
去哪儿,萨莉亚意式餐厅(东方广场店),【Location】禅城区东方广场银州城3楼，旁边是儿童乐园，因为在一个角落里，其实位置不太好找。坐公交到东方广场站或永安路站，在永旺超市三楼。【Service】价格实惠，分量挺足，由于东方广场地理位置好，就餐时间人会很多，需要等位，人均消费不高，但是不能刷卡只收现金。喝白开水需要自己动手。点餐的话，桌面有一个按钮，一按就好大声，然后服务员走过了点餐。【Food】出品总体还是可以的，点的鸭胸沙拉是冰冻的，估计是预先做好放冰箱里的，沙拉酱味道还可以。这里的披萨也比较多人点，但我个人觉得饼底偏厚，不太喜欢。意粉的话，别看上去量不多，吃完一个意粉就觉得好撑，估计是酱里加了奶油。,,B02F50WAWE,萨莉亚意式餐厅(鸿大广场店),餐饮住宿,桂城街道,113.128754,23.050932,FALSE,100,exact
去哪儿,西樵山国艺影视城,真的很好玩，可惜的是我没看到有人拍电影，还租了服装到处拍摄，太过瘾了，瞬间玩穿越，根本不舍得走,,B0FFFOVW3H,西樵山国艺影视城,休闲娱乐,西樵镇,112.968458,22.911054,TRUE,100,exact
去哪儿,南国桃园,在home附近，，平时有空就时不时去，记得以前晚上吃完饭经常开车来散步，有一次还见到小学同学，她还大喊我的名字😂😂😂；过年的时候，桃花谷超多桃花盛开，桃花遍地，，然后很多很多人都要挤破脑来看，，，真的无语了，；还有什么南海观音寺，高尔夫球场，碧波湖，，我最喜欢在湖边走着走着，，有时候那些卖益力多的阿姨会骑着单车进来边休息边卖益力多，，，旁边还有个景点，，南海影视城，，还要门票，，,,B0FFG4B8C9,南国桃园,自然景观,大沥镇,113.103899,23.183076,TRUE,100,exact
去哪儿,西樵山风景名胜区,亲身经历，在西樵山北门口有好多摩托车拉客，好热情，千万不要理他们，他们会说上去好远，带你去坐缆车，把你从北门带到西门，这还不止，中途还会带你去买香（好贵，说里面没得卖，其实观音寺里有卖的），然后再载你到一个叫老庙的地方，拜一个所谓的观音像和财神，完了收功德钱。后来才知道一切，只能怪人生地不熟。这些人竟然拿神明来骗人，太无耻！太缺德！诅咒他们不得好死💀,,B02F5076F0,西樵山风景名胜区,自然景观,西樵镇,112.976074,22.908475,TRUE,100,exact
去哪儿,枫林白塔,枫林白塔坐落于广东佛山的西樵山风景区的“白云洞景区”内。,,B0FFHHJ5YR,枫林白塔,自然景观,西樵镇,112.958687,22.936283,FALSE,100,exact
去哪儿,基督教盐步堂,不仅是中国，也是世界最大的小提琴音乐教堂，值得向往，值得观光——不虚此行 鹤立鸡群——世界独一小提琴教堂 夜色下的小提琴教堂——中国最美教堂之一 洁白如画 天高云淡——天然的琴弓，律动的五线谱 盐步地标——广东最奇特景点之一 圣诞美景——将来愿望——盐步人的骄傲 敢于小提琴比高矮——先睹为快 广佛骑行100公里——不虚此行,,B0FFG24UH1,基督教盐步堂,宗教场所,大沥镇,113.184026,23.080738,TRUE,100,exact
去哪儿,西樵山风景名胜区,要到达天湖公园广场，需在西樵山公园山脚下坐上空中览车才能上去，时间约10分钟左右，门票20元/人。 在览车高空下可以俯览整个西樵镇的风光。,,B02F5076F0,西樵山风景名胜区,自然景观,西樵镇,112.976074,22.908475,TRUE,100,exact
