id,name,category,original_type,address,town,lng,lat,rating,has_nonheritage,nonheritage_match,query_type
B0LDTA5DA9,广东中医师承教育研究中心南海湾中医药传习基地,其他,科教文化服务;科研机构;科研机构,东西大道55号(南海湾研学营地内),西樵镇,112.877914,22.854775,0,False,,关键词:传习所
B0KKHU7DKL,饶宝莲剪纸艺术佛山孝德湖传承基地,自然景观,科教文化服务;科教文化场所;科教文化场所,麒岭路128号,狮山镇,113.058463,23.074045,3.4,False,,关键词:传承基地
B0FFKCIQYL,沙水村古村落,自然景观,风景名胜;风景名胜相关;旅游景点,广东省佛山市南海区丹灶镇沙水村东社坊7巷7号,丹灶镇,112.935246,23.046177,4.2,False,,关键词:古村
B0HRV7T4XT,太史第,自然景观,风景名胜;风景名胜相关;旅游景点,翰林湖农业公园内沙水古村落,丹灶镇,112.93488,23.047074,3.5,False,,关键词:古村
B0HG559LNQ,翰林埗头,自然景观,风景名胜;风景名胜相关;旅游景点,沙水村古村落内(西北角),丹灶镇,112.934289,23.046926,3.6,False,,关键词:古村
B0FFJMCPBJ,烟南古村,人文古迹,地名地址信息;地名地址信息;地名地址信息,南海区,西樵镇,112.958202,22.873595,0,False,,关键词:古村
B0JKU7MB2I,龙游古村,自然景观,风景名胜;风景名胜;风景名胜,九江镇烨欣学车训练场(沙咀一村二文化楼对面),九江镇,112.999633,22.863379,4.0,False,,关键词:古村
B0FFMEE0UE,贤僚古村,自然景观,风景名胜;风景名胜相关;旅游景点,里水镇贤鲁岛内,里水镇,113.171336,23.259766,3.7,False,,关键词:古村
B0LGYC6XT8,赤山古村文化旅游景区,自然景观,风景名胜;风景名胜;风景名胜,村前路与赤山大道交叉口西北60米,里水镇,113.138763,23.217942,3.8,False,,关键词:古村
B0FFLJYKEI,西樵镇-醒狮之乡,自然景观,风景名胜;风景名胜相关;旅游景点,西樵镇,西樵镇,112.978375,22.938019,3.6,True,醒狮,关键词:古村
B0FFK98ZHK,汤村南社大有书塾汉润堂,自然景观,风景名胜;风景名胜相关;旅游景点,上社大街,里水镇,113.137808,23.289788,3.4,False,,关键词:古村
B0FFH4A4FE,长庚门,自然景观,风景名胜;风景名胜相关;旅游景点,狮山镇万石大莲塘村文化室附近,狮山镇,113.090677,23.189966,3.4,False,,关键词:古村
B0FFJYGJTV,烟桥古村,自然景观,风景名胜;风景名胜相关;旅游景点,九江镇烟桥村道,九江镇,112.959574,22.872088,4.4,False,,关键词:古村
B0LGFOTL9C,大谷余氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,大谷上街与上东三村路交叉口西北60米,丹灶镇,113.043093,22.828789,2.3,False,,关键词:祠堂
B0LGTX12VB,梁氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,联江路与大展线交叉口西240米,里水镇,113.131515,23.153857,3.1,False,,关键词:祠堂
B0LR74HVZT,宏五吴氏宗祠,其他,生活服务;生活服务场所;生活服务场所,宏岗中心东街与宏岗中心西街交叉口北60米,里水镇,113.142698,23.226249,3.3,False,,关键词:祠堂
B0LKXPI5QF,梁氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,坎南五斗田街与联江路交叉口东220米,里水镇,113.125926,23.13648,2.5,False,,关键词:祠堂
B0LUL56H6T,潘氏宗祠,自然景观,风景名胜;风景名胜相关;旅游景点,潘合街一巷,大沥镇,113.112282,23.099299,3.9,False,,关键词:祠堂
B0LG0R2940,雷氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,沥西路与沥松线交叉口东北440米,大沥镇,113.114265,23.133316,3.3,False,,关键词:祠堂
B0LG31H75J,蔡氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,金贤路与金溪路交叉口西160米,里水镇,113.137181,23.266758,3.5,False,,关键词:祠堂
B0LKSMI0I3,麻奢村潭边邓氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,大同路与三区路交叉口西360米,里水镇,113.127346,23.216866,3.8,False,,关键词:祠堂
B0LGO97V6J,上西村卢氏宗祠,自然景观,风景名胜;风景名胜;风景名胜,上东新村大道与田上线交叉口东南260米,大沥镇,113.114988,23.152041,3.7,False,,关键词:祠堂
B0LUTL3UGY,高氏大宗祠,其他,生活服务;生活服务场所;生活服务场所,向北大街与和鹤线交叉口东南180米,里水镇,113.121716,23.233691,4.0,False,,关键词:祠堂
B0LGTXZ0Y2,张氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,村面街与南园街交叉口北40米,里水镇,113.130883,23.296558,3.7,False,,关键词:祠堂
B0LG0R3J1A,李氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,麓湖一路与麓湖三路交叉口西380米,大沥镇,113.096916,23.171844,2.7,False,,关键词:祠堂
B0LRSZ4XKX,黎氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,,丹灶镇,113.046636,22.903789,3.1,False,,关键词:祠堂
B0LG0R5O0I,吴氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,广云路与文行村大街交叉口东南80米,大沥镇,113.07571,23.126967,3.3,False,,关键词:祠堂
B0LUJ9B7HE,瑶边周氏祠堂,自然景观,风景名胜;风景名胜;寺庙道观,和景南路与南水路交叉口东北440米,大沥镇,113.094266,23.260295,3.5,False,,关键词:祠堂
B0LGJLK1FB,黄氏宗祠,其他,生活服务;生活服务场所;生活服务场所,康泰南路与沙龙路辅路交叉口西240米,丹灶镇,113.027349,22.905154,2.8,False,,关键词:祠堂
B0LGV1Y2BQ,梁氏宗祠,其他,生活服务;生活服务场所;生活服务场所,教育路与起凤东路交叉口西北140米,大沥镇,113.084165,23.22823,3.5,False,,关键词:祠堂
B0LG0L6MPA,麦氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,猫大段与大猫线交叉口东北140米,丹灶镇,112.989832,22.896595,3.7,False,,关键词:祠堂
B0LG0R6HAB,李氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,罗务路与沙坊一路交叉口北280米,丹灶镇,113.015703,23.041153,3.2,False,,关键词:祠堂
B0LG0R6J0T,黄氏宗祠,其他,生活服务;生活服务场所;生活服务场所,上约大街与蟹坑村上约大街交叉口东北240米,里水镇,113.199969,23.196204,3.4,False,,关键词:祠堂
B0LRPRREBD,巫氏宗祠,其他,生活服务;生活服务场所;生活服务场所,下街与上亨路交叉口东南120米,里水镇,113.163696,23.163712,3.8,False,,关键词:祠堂
B0LGFHPPI4,梁氏宗祠,其他,生活服务;生活服务场所;生活服务场所,岗西文体楼,里水镇,113.142236,23.130224,3.0,False,,关键词:祠堂
B0LG0L6RFG,李氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,文教路与文金横路交叉口西420米,里水镇,113.157028,23.244493,3.6,False,,关键词:祠堂
B0LUDRC0TN,伏水小宗祠,其他,生活服务;生活服务场所;生活服务场所,伏水村村头街与伏水村村头大街交叉口北20米,丹灶镇,112.899542,23.030172,3.3,False,,关键词:祠堂
B0LGJLS8JQ,梁氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,庄边村下街与工业大道交叉口北180米,丹灶镇,112.899825,23.032525,3.5,False,,关键词:祠堂
B0LG0L7ALK,大涡邓家邓氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,张家大街与丹横路交叉口南240米,狮山镇,112.905194,23.062748,3.4,False,,关键词:祠堂
B0LGJLPZY9,吴氏大宗祠,其他,生活服务;生活服务场所;生活服务场所,横江南街与横江大道交叉口南140米,狮山镇,112.912235,23.102417,4.1,False,,关键词:祠堂
B0LGZLWDSR,棋盘村陈氏宗祠(万元户纪念馆),自然景观,风景名胜;风景名胜;风景名胜,三村新街十二巷1号,狮山镇,112.904097,23.12378,3.9,False,,关键词:祠堂
B0LGUC52MK,傅氏宗祠,自然景观,风景名胜;风景名胜;风景名胜,江浦西路103号,丹灶镇,112.981742,22.925328,3.7,False,,关键词:祠堂
B0LG0R6E4A,李氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,小塘工业大道与恒发商业街交叉口南280米,丹灶镇,112.99859,23.03494,3.2,False,,关键词:祠堂
B0LGTBWT1K,梁氏宗祠(荷涌村),自然景观,风景名胜;风景名胜;寺庙道观,丁家村文化楼东南侧110米,丹灶镇,112.983461,22.967184,3.7,False,,关键词:祠堂
B0LGHCO34S,烟南南水村吴氏宗祠,其他,生活服务;生活服务场所;生活服务场所,龙高路辅路与钢铁东二路交叉口北140米,西樵镇,112.955985,22.870267,4.0,False,,关键词:祠堂
B0LGTBYB6V,邓屋邓氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,官华路与小榄市场东四巷交叉口东440米,狮山镇,113.009534,23.171627,3.8,False,,关键词:祠堂
B0LG0L6MZH,北山村罗氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,桥梁公司东侧170米,狮山镇,113.005008,23.16331,3.5,False,,关键词:祠堂
B0LG0R5OL6,孔村宗祠,自然景观,风景名胜;风景名胜;寺庙道观,咏协胜机电设备有限公司佛山分公司东侧230米,里水镇,113.002868,23.153579,3.8,False,,关键词:祠堂
B0MBK5Q7UA,奇石村陈氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,小塘工业大道奇石村奇石牌坊北侧,狮山镇,112.984842,23.061732,2.8,False,,关键词:祠堂
B0LGUZ98RF,泮边杨氏大宗祠,自然景观,风景名胜;风景名胜;风景名胜,虹岭一路20号,狮山镇,113.003955,23.183889,3.7,False,,关键词:祠堂
B0LRDX7J69,郭氏祠堂,自然景观,风景名胜;风景名胜;寺庙道观,上安南约村,狮山镇,112.956494,23.082748,3.7,False,,关键词:祠堂
B0LG0L6RD3,吴氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,樵金北路与官陆线交叉口东200米,狮山镇,112.945955,23.090041,3.7,False,,关键词:祠堂
B0LGTXW17T,吴氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,村前街与水口路交叉口南80米,狮山镇,112.943356,23.096264,3.1,False,,关键词:祠堂
B0LKOAFWKW,稔岗苏氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,河稔线与朝阳路交叉口西北320米,西樵镇,112.907725,22.939475,2.7,False,,关键词:祠堂
B0LG0R6EI0,劳氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,十下线与樵金北路交叉口东200米,狮山镇,112.936082,23.103269,3.1,False,,关键词:祠堂
B0LGTBVY6F,帅氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,西联开发区东侧190米,狮山镇,112.926838,23.071174,3.7,False,,关键词:祠堂
B0LUMCHTDR,黄氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,金正东侧240米,西樵镇,112.890465,22.872471,3.7,False,,关键词:祠堂
B0LGNDU8X3,陈边宗祠,自然景观,风景名胜;风景名胜;寺庙道观,广云路与广狮线交叉口南320米,狮山镇,112.933381,23.145656,4.0,False,,关键词:祠堂
B0LRHA7DZK,西樵镇河溪村周家祠堂,自然景观,风景名胜;风景名胜;风景名胜,西樵镇河溪村周家祠堂(河溪西道牌坊下坡),西樵镇,112.893823,22.953859,3.7,False,,关键词:祠堂
B0LG0L29UE,洲头村徐氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,大板街与大道街交叉口东南60米,狮山镇,112.922127,23.120106,3.6,False,,关键词:祠堂
B0LG0L1UFZ,王氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,三槐里大街与文文线交叉口东120米,里水镇,113.152806,23.249035,4.0,False,,关键词:祠堂
B0LDBOEMZ1,叶氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,罗务路与沙坊一路交叉口北120米,丹灶镇,113.015862,23.039626,3.1,False,,关键词:祠堂
B0LBXKCGYB,西樵山陈家宗祠,自然景观,生活服务;生活服务场所;生活服务场所,儒溪上儒大街与羔儒线交叉口西420米,西樵镇,112.955788,22.90651,3.6,False,,关键词:祠堂
B0LBS5UDJF,儒溪村陈氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,儒溪方井村方井西南侧,西樵镇,112.953897,22.900263,3.5,False,,关键词:祠堂
B0LBS5O9I6,梁氏祠堂,自然景观,风景名胜;风景名胜;寺庙道观,教育路与桂业路交叉口西南160米,桂城街道,113.15693,23.007603,3.5,False,,关键词:祠堂
B0LBO64BTM,上安社区郭家经济社郭氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,郭家村前街与樵金北路交叉口西320米,狮山镇,112.954492,23.079326,3.6,False,,关键词:祠堂
B0LBO62OG9,刘氏宗祠,其他,生活服务;生活服务场所;生活服务场所,便沙新街与华联线交叉口东南60米,丹灶镇,112.960016,22.961787,3.6,False,,关键词:祠堂
B0LB7HF22P,胡氏宗祠,其他,生活服务;生活服务场所;生活服务场所,联江路与抱伦大道交叉口东南40米,里水镇,113.124286,23.138016,2.9,False,,关键词:祠堂
B0LB7HEY0E,三约村陶氏宗祠,其他,生活服务;生活服务场所;生活服务场所,广云路辅路与官华路交叉口西南200米,狮山镇,112.996614,23.133767,3.7,False,,关键词:祠堂
B0LB3SB62M,汤村龙氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,S47广佛江珠高速入口与中信大道交叉口东南240米,里水镇,113.138344,23.283829,2.9,False,,关键词:祠堂
B0LB1U43VO,老氏七世祠堂,自然景观,风景名胜;风景名胜;风景名胜,朗星管理区世老村儒宗里4号,丹灶镇,113.046286,22.905307,3.7,False,,关键词:祠堂
B0LAP7M3XS,张氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,村口东大街与上朗段交叉口西240米,丹灶镇,112.926469,22.991649,2.6,False,,关键词:祠堂
B0LAP7LRM6,陈氏宗祠,其他,生活服务;生活服务场所;生活服务场所,新石线与石澎大道交叉口西北360米,狮山镇,113.038127,23.218606,2.8,False,,关键词:祠堂
B0LAP7LQFD,黎氏宗祠,自然景观,风景名胜;风景名胜;寺庙道观,村口东大街与上朗段交叉口西北160米,丹灶镇,112.927615,22.992514,2.9,False,,关键词:祠堂
B0LAP7LPVX,大涡张氏大宗祠,自然景观,风景名胜;风景名胜;寺庙道观,张家大街与丹横路交叉口南320米,狮山镇,112.904684,23.062162,3.8,False,,关键词:祠堂
